"Which have you done in order to avoid experiencing discrimination because of your race, sexual orientation or gender identity?",id
"Hid a personal relationship, Researched LGBTQIA+ friendly companies",id
"Hid a personal relationship, Researched LGBTQIA+ friendly companies, Avoided public places, Moved to another city, Moved away from family, Dressed differently",id
"Hid a personal relationship, Researched LGBTQIA+ friendly companies, Avoided public places, Moved to another city, Moved away from family, Dressed differently, Avoid sharing my personal life in general.",id
"Hid a personal relationship, Avoided public places, Dressed differently",id
"Researched LGBTQIA+ friendly companies, Avoided public places, Moved to another city",id
"Hid a personal relationship, Moved away from family",id
"Hid a personal relationship, Researched LGBTQIA+ friendly companies, Moved to another city, Moved away from family, Dressed differently",id
"Researched LGBTQIA+ friendly companies, Avoided public places, Moved to another city, Moved away from family",id
"Hid a personal relationship, Researched LGBTQIA+ friendly companies, Avoided public places, Moved away from family",id
"Hid a personal relationship, Researched LGBTQIA+ friendly companies, Dressed differently",id
" Moved to another city, Move to another country ",id
"Hid a personal relationship, Researched LGBTQIA+ friendly companies, Moved to another city, Moved away from family, Dressed differently",id
" Moved to another city, Moved away from family",id
"Hid a personal relationship, Researched LGBTQIA+ friendly companies, Avoided public places, Moved away from family, Avoided seeing medical professional, Dressed differently",id
"Hid a personal relationship, Researched LGBTQIA+ friendly companies, Avoided public places, Moved to another city, Moved away from family, Avoided seeing medical professional, Dressed differently",id
"Hid a personal relationship, Researched LGBTQIA+ friendly companies, Dressed differently",id
"Researched LGBTQIA+ friendly companies, Moved to another city",id
"Hid a personal relationship, Researched LGBTQIA+ friendly companies, Moved away from family, Dressed differently, Hid attractions, generalised topics instead of talking personally",id
"Hid a personal relationship, Avoided public places, Avoided seeing medical professional, Dressed differently",id
"Hid a personal relationship, Moved to another city, Moved away from family, Avoided seeing medical professional",id
"Hid a personal relationship, Moved away from family",id
"Hid a personal relationship, Researched LGBTQIA+ friendly companies, Moved to another city, Moved away from family, Dressed differently",id
"Hid a personal relationship, Researched LGBTQIA+ friendly companies, Avoided seeing medical professional",id
